0, ISS/BHXG.tif: 50.6248
State score: 0.232576(0.075, 0.0295276)
Overall score: 0.794315(0.0809783)


Folder: Lab2

Nb files: 34
Environment score: 0.8
Hidden score: 0.0588235
Proximity score: 0.48338(0.144071, 0.0385703)
State score: 0.291889(0.021836, 0.00584587)
Overall score: 0.834093(0.0444162)


Folder: Lab3

Nb files: 27
Environment score: 0.7
Hidden score: 0.0690236
Proximity score: 0.424202(0.196449, 0.0365442)
State score: 0.260943(0.0493827, 0.00918636)
Overall score: 0.754168(0.0457306)


Folder: Sim

Nb files: 20
Environment score: 0.5
Hidden score: 0.0340909
Proximity score: 0.262608(0.381331, 0.0375326)
State score: 0.161364(0.160606, 0.0158077)
Overall score: 0.458063(0.0533403)


TOTAL

Nb files: 126
Hidden score: 0.0672871
Proximity score: 0.448188(0.173621)
State score: 0.246272(0.0646326)
Overall score: 0.761747(0.238254)
